#Encoding:ASCII;;;;;;
#Separator:;;;;;;
#GpsTimeFormat:hh:mm:ss.ffff;;;;;;
#CpuTimeFormat:hh:mm:ss.fff;;;;;;
#Creation:06/16/2008 12:05:15.000;;;;;;
#Description:;;;;;;
#Fields:GPS_Lat;GPS_Lon;GPS_Date;GPS_Time;CPU_Date;CPU_Time;EventId
40,36736;-3,806375;06/16/2008;10:16:57.0000;06/16/2008;11:39:12.468;0
40,36736;-3,806375;06/16/2008;10:16:57.0000;06/16/2008;11:39:12.657;0
40,36733667;-3,806406667;06/16/2008;10:16:57.0000;06/16/2008;11:39:12.724;0
40,36729;-3,806466667;06/16/2008;10:16:58.0000;06/16/2008;11:39:12.980;0
40,36729;-3,806466667;06/16/2008;10:16:58.0000;06/16/2008;11:39:13.195;0
40,36726833;-3,806495;06/16/2008;10:16:58.0000;06/16/2008;11:39:13.253;0
40,367245;-3,806523333;06/16/2008;10:16:58.0000;06/16/2008;11:39:13.472;0
40,367245;-3,806523333;06/16/2008;10:16:58.0000;06/16/2008;11:39:13.696;0
40,36722167;-3,806551667;06/16/2008;10:16:58.0000;06/16/2008;11:39:13.718;0
40,36717667;-3,806611667;06/16/2008;10:16:59.0000;06/16/2008;11:39:13.981;0
40,36717667;-3,806611667;06/16/2008;10:16:59.0000;06/16/2008;11:39:14.197;0
40,36715333;-3,806641667;06/16/2008;10:16:59.0000;06/16/2008;11:39:14.218;0
40,36713;-3,806671667;06/16/2008;10:16:59.0000;06/16/2008;11:39:14.468;0
40,36713;-3,806671667;06/16/2008;10:16:59.0000;06/16/2008;11:39:14.698;0
40,36710667;-3,8067;06/16/2008;10:16:59.0000;06/16/2008;11:39:14.718;0
40,36706333;-3,80676;06/16/2008;10:17:00.0000;06/16/2008;11:39:14.983;0
40,36706333;-3,80676;06/16/2008;10:17:00.0000;06/16/2008;11:39:15.244;0
40,36704167;-3,806786667;06/16/2008;10:17:00.0000;06/16/2008;11:39:15.254;0
40,36701833;-3,806815;06/16/2008;10:17:00.0000;06/16/2008;11:39:15.468;0
40,366995;-3,806843333;06/16/2008;10:17:00.0000;06/16/2008;11:39:15.720;0
40,366995;-3,806843333;06/16/2008;10:17:00.0000;06/16/2008;11:39:15.738;0
40,36694667;-3,806903333;06/16/2008;10:17:01.0000;06/16/2008;11:39:15.980;0
40,36692333;-3,806933333;06/16/2008;10:17:01.0000;06/16/2008;11:39:16.218;0
40,36692333;-3,806933333;06/16/2008;10:17:01.0000;06/16/2008;11:39:16.238;0
40,3669;-3,806961667;06/16/2008;10:17:01.0000;06/16/2008;11:39:16.468;0
40,36687667;-3,806991667;06/16/2008;10:17:01.0000;06/16/2008;11:39:16.718;0
40,36687667;-3,806991667;06/16/2008;10:17:01.0000;06/16/2008;11:39:16.740;0
40,36683167;-3,807048333;06/16/2008;10:17:02.0000;06/16/2008;11:39:16.981;0
40,36680833;-3,807076667;06/16/2008;10:17:02.0000;06/16/2008;11:39:17.218;0
40,36680833;-3,807076667;06/16/2008;10:17:02.0000;06/16/2008;11:39:17.286;0
40,36678667;-3,807105;06/16/2008;10:17:02.0000;06/16/2008;11:39:17.468;0
40,36676333;-3,807135;06/16/2008;10:17:02.0000;06/16/2008;11:39:17.718;0
40,36676333;-3,807135;06/16/2008;10:17:02.0000;06/16/2008;11:39:17.786;0
40,36671833;-3,807191667;06/16/2008;10:17:03.0000;06/16/2008;11:39:17.981;0
40,36669667;-3,807221667;06/16/2008;10:17:03.0000;06/16/2008;11:39:18.218;0
40,36669667;-3,807221667;06/16/2008;10:17:03.0000;06/16/2008;11:39:18.287;0
40,366675;-3,807251667;06/16/2008;10:17:03.0000;06/16/2008;11:39:18.467;0
40,36665333;-3,807281667;06/16/2008;10:17:03.0000;06/16/2008;11:39:18.722;0
40,36665333;-3,807281667;06/16/2008;10:17:03.0000;06/16/2008;11:39:18.788;0
40,36660833;-3,807341667;06/16/2008;10:17:04.0000;06/16/2008;11:39:18.980;0
40,366585;-3,80737;06/16/2008;10:17:04.0000;06/16/2008;11:39:19.218;0
40,366585;-3,80737;06/16/2008;10:17:04.0000;06/16/2008;11:39:19.321;0
40,36656167;-3,807401667;06/16/2008;10:17:04.0000;06/16/2008;11:39:19.468;0
40,36653833;-3,807435;06/16/2008;10:17:04.0000;06/16/2008;11:39:19.718;0
40,36653833;-3,807435;06/16/2008;10:17:04.0000;06/16/2008;11:39:19.822;0
40,36649;-3,8075;06/16/2008;10:17:05.0000;06/16/2008;11:39:19.981;0
40,36646667;-3,807531667;06/16/2008;10:17:05.0000;06/16/2008;11:39:20.218;0
40,36646667;-3,807531667;06/16/2008;10:17:05.0000;06/16/2008;11:39:20.322;0
40,36644167;-3,807563333;06/16/2008;10:17:05.0000;06/16/2008;11:39:20.468;0
40,36641667;-3,807595;06/16/2008;10:17:05.0000;06/16/2008;11:39:20.717;0
40,36641667;-3,807595;06/16/2008;10:17:05.0000;06/16/2008;11:39:20.824;0
40,36637;-3,807658333;06/16/2008;10:17:06.0000;06/16/2008;11:39:20.980;0
40,36634667;-3,807688333;06/16/2008;10:17:06.0000;06/16/2008;11:39:21.218;0
40,36634667;-3,807688333;06/16/2008;10:17:06.0000;06/16/2008;11:39:21.363;0
40,36632333;-3,807721667;06/16/2008;10:17:06.0000;06/16/2008;11:39:21.468;0
40,3663;-3,807753333;06/16/2008;10:17:06.0000;06/16/2008;11:39:21.718;0
40,3663;-3,807753333;06/16/2008;10:17:06.0000;06/16/2008;11:39:21.862;0
40,36625333;-3,807816667;06/16/2008;10:17:07.0000;06/16/2008;11:39:21.980;0
40,36623;-3,807848333;06/16/2008;10:17:07.0000;06/16/2008;11:39:22.218;0
40,36623;-3,807848333;06/16/2008;10:17:07.0000;06/16/2008;11:39:22.363;0
40,366205;-3,807881667;06/16/2008;10:17:07.0000;06/16/2008;11:39:22.468;0
40,366185;-3,807913333;06/16/2008;10:17:07.0000;06/16/2008;11:39:22.718;0
40,366185;-3,807913333;06/16/2008;10:17:07.0000;06/16/2008;11:39:22.864;0
40,36614;-3,807975;06/16/2008;10:17:08.0000;06/16/2008;11:39:22.980;0
40,366115;-3,808006667;06/16/2008;10:17:08.0000;06/16/2008;11:39:23.218;0
40,366115;-3,808006667;06/16/2008;10:17:08.0000;06/16/2008;11:39:23.404;0
40,36609;-3,808038333;06/16/2008;10:17:08.0000;06/16/2008;11:39:23.472;0
40,366065;-3,808071667;06/16/2008;10:17:08.0000;06/16/2008;11:39:23.718;0
40,366065;-3,808071667;06/16/2008;10:17:08.0000;06/16/2008;11:39:23.903;0
40,36601667;-3,808135;06/16/2008;10:17:09.0000;06/16/2008;11:39:23.980;0
40,36599167;-3,808166667;06/16/2008;10:17:09.0000;06/16/2008;11:39:24.218;0
40,36599167;-3,808166667;06/16/2008;10:17:09.0000;06/16/2008;11:39:24.404;0
40,36596667;-3,808198333;06/16/2008;10:17:09.0000;06/16/2008;11:39:24.472;0
40,36594333;-3,80823;06/16/2008;10:17:09.0000;06/16/2008;11:39:24.718;0
40,36594333;-3,80823;06/16/2008;10:17:09.0000;06/16/2008;11:39:24.906;0
40,365895;-3,808295;06/16/2008;10:17:10.0000;06/16/2008;11:39:24.980;0
40,36587;-3,808328333;06/16/2008;10:17:10.0000;06/16/2008;11:39:25.218;0
40,36587;-3,808328333;06/16/2008;10:17:10.0000;06/16/2008;11:39:25.446;0
40,36584667;-3,808358333;06/16/2008;10:17:10.0000;06/16/2008;11:39:25.504;0
40,36582167;-3,80839;06/16/2008;10:17:10.0000;06/16/2008;11:39:25.718;0
40,36582167;-3,80839;06/16/2008;10:17:10.0000;06/16/2008;11:39:25.946;0
40,36577333;-3,808453333;06/16/2008;10:17:11.0000;06/16/2008;11:39:25.980;0
40,36575167;-3,808483333;06/16/2008;10:17:11.0000;06/16/2008;11:39:26.221;0
40,36575167;-3,808483333;06/16/2008;10:17:11.0000;06/16/2008;11:39:26.447;0
40,36572833;-3,808515;06/16/2008;10:17:11.0000;06/16/2008;11:39:26.468;0
40,365705;-3,808545;06/16/2008;10:17:11.0000;06/16/2008;11:39:26.718;0
40,365705;-3,808545;06/16/2008;10:17:11.0000;06/16/2008;11:39:26.948;0
40,36565667;-3,808603333;06/16/2008;10:17:12.0000;06/16/2008;11:39:26.980;0
40,36563167;-3,808633333;06/16/2008;10:17:12.0000;06/16/2008;11:39:27.217;0
40,36563167;-3,808633333;06/16/2008;10:17:12.0000;06/16/2008;11:39:27.494;0
40,36560833;-3,808663333;06/16/2008;10:17:12.0000;06/16/2008;11:39:27.503;0
40,365585;-3,808693333;06/16/2008;10:17:12.0000;06/16/2008;11:39:27.718;0
40,36553667;-3,808756667;06/16/2008;10:17:13.0000;06/16/2008;11:39:27.981;0
40,36553667;-3,808756667;06/16/2008;10:17:13.0000;06/16/2008;11:39:27.993;0
40,36551333;-3,80879;06/16/2008;10:17:13.0000;06/16/2008;11:39:28.218;0
40,36549;-3,80882;06/16/2008;10:17:13.0000;06/16/2008;11:39:28.468;0
40,36549;-3,80882;06/16/2008;10:17:13.0000;06/16/2008;11:39:28.494;0
40,36546667;-3,80885;06/16/2008;10:17:13.0000;06/16/2008;11:39:28.718;0
40,36541833;-3,808908333;06/16/2008;10:17:14.0000;06/16/2008;11:39:28.980;0
40,36541833;-3,808908333;06/16/2008;10:17:14.0000;06/16/2008;11:39:28.995;0
40,365395;-3,80894;06/16/2008;10:17:14.0000;06/16/2008;11:39:29.218;0
40,36537333;-3,808971667;06/16/2008;10:17:14.0000;06/16/2008;11:39:29.469;0
40,36537333;-3,808971667;06/16/2008;10:17:14.0000;06/16/2008;11:39:29.532;0
40,36535;-3,809005;06/16/2008;10:17:14.0000;06/16/2008;11:39:29.718;0
40,365305;-3,809066667;06/16/2008;10:17:15.0000;06/16/2008;11:39:29.980;0
40,365305;-3,809066667;06/16/2008;10:17:15.0000;06/16/2008;11:39:30.033;0
40,36528;-3,8091;06/16/2008;10:17:15.0000;06/16/2008;11:39:30.220;0
40,365255;-3,809133333;06/16/2008;10:17:15.0000;06/16/2008;11:39:30.467;0
40,365255;-3,809133333;06/16/2008;10:17:15.0000;06/16/2008;11:39:30.533;0
